;0;1
0;0.0;0.054
1;0.0;0.002
2;0.0;0.002
3;0.0;0.0
4;0.0;0.0
5;0.0;0.026
6;0.0;0.0
7;1.0;0.998
8;0.0;0.004
9;0.0;0.478
10;0.0;0.006
11;0.0;0.0
12;0.0;0.014
13;0.0;0.474
14;0.0;0.004
15;0.0;0.898
16;0.0;0.592
17;0.0;0.0
18;1.0;0.986
19;0.0;0.01
20;0.0;0.0
21;1.0;0.74
22;0.0;0.002
23;1.0;0.946
24;0.0;0.002
25;1.0;0.446
26;0.0;0.034
27;0.0;0.0
28;0.0;0.056
29;0.0;0.056
30;0.0;0.024
31;1.0;0.39
32;1.0;0.924
33;0.0;0.014
34;0.0;0.0
35;0.0;0.0
36;0.0;0.0
37;0.0;0.0
38;0.0;0.012
39;1.0;0.988
40;0.0;0.032
41;0.0;0.0
42;0.0;0.002
43;0.0;0.026
44;1.0;0.668
45;0.0;0.002
46;0.0;0.136
47;1.0;0.758
48;0.0;0.008
49;1.0;0.804
50;1.0;0.982
51;0.0;0.002
52;0.0;0.0
53;0.0;0.468
54;1.0;0.964
55;1.0;0.94
56;0.0;0.0
57;0.0;0.0
58;1.0;0.992
59;0.0;0.024
60;0.0;0.016
61;1.0;0.804
62;0.0;0.002
63;1.0;0.972
64;0.0;0.006
65;1.0;0.96
66;0.0;0.01
67;0.0;0.002
68;0.0;0.01
69;0.0;0.51
70;1.0;1.0
71;0.0;0.044
72;0.0;0.0
73;1.0;0.824
74;0.0;0.02
75;0.0;0.0
76;0.0;0.066
77;0.0;0.0
78;1.0;0.998
79;1.0;0.948
80;1.0;0.992
81;0.0;0.916
82;0.0;0.0
83;0.0;0.012
84;1.0;0.986
85;1.0;0.054
86;0.0;0.112
87;1.0;0.978
88;1.0;0.778
89;0.0;0.0
90;0.0;0.028
91;1.0;1.0
92;0.0;0.0
93;0.0;0.0
94;0.0;0.0
95;1.0;0.47
96;0.0;0.0
97;1.0;0.998
98;1.0;0.97
99;1.0;0.978
